311 613311 352747 59 865
312 610802 355026 52 904
313 608324 357284 48 911
314 605800 359559 59 922
315 603308 361821 55 933
316 600791 364116 52 921
317 598226 366443 66 921
318 595712 368719 63 924
319 593179 371051 56 898
320 590620 373378 57 904
321 588065 375696 61 913
322 585463 378061 64 906
323 582887 380416 68 915
324 580360 382749 50 896
325 577738 385137 46 901
326 575137 387505 55 891
327 572505 389913 63 890
328 569927 392264 59 909
329 567286 394679 62 894
330 564631 397090 61 915
331 562007 399483 58 933
332 559365 401861 60 964
333 556697 404303 60 967
334 554039 406752 60 931
335 551382 409153 64 949
336 548679 411623 67 917
337 545994 414042 60 964
338 543316 416480 60 995
339 540630 418910 60 999
340 537918 421378 66 1007
341 535167 423876 76 977
342 532435 426360 83 978
343 529692 428842 79 987
344 526957 431364 63 978
345 524194 433884 58 983
346 521426 436437 49 966
347 518674 438938 57 944
348 515925 441445 54 960
349 513126 443991 64 955
350 510325 446554 66 967
351 507534 449110 61 964
352 504710 451710 62 942
353 501902 454243 63 973
354 499105 456812 60 968
355 496240 459417 68 980
356 493381 462024 70 1007
357 490542 464615 58 993
358 487708 467223 50 996
359 484821 469835 56 1013
360 481949 472430 55 1041
361 479086 475059 58 1012
362 476170 477737 52 1022
363 473284 480373 57 998
364 470407 482991 60 976
365 467478 485659 65 1001
366 464570 488317 63 1009
367 461628 490988 60 1038
368 458708 493660 61 1029
369 455757 496344 66 1035
370 452812 499016 68 1054
371 449822 501766 72 1016
372 446875 504432 73 1049
373 443876 507180 72 1039
